url;label;CNN_inference_time_ms;RF_inference_time_ms
gay-as-a-diamond-studded-rainbow.tumblr.com;1;0,1548;10,571
french-porn-site.com;1;0,1392;10,486
gumiho-dildo-masturbating-sexy-video.pages.dev;1;0,1417;10,472
sexshop-lingerie-sexy.com;1;0,1543;10,464
porn-attack.com;1;0,1442;10,447
sextoy-warehouse.com;1;0,1323;10,428
best-sex-movies.com;1;0,1382;10,412
cheap-sex-line.co.uk;1;0,1386;10,407
grup-bokep-terbaru-2020-edisi-jepang.000webhostapp.com;1;0,1624;10,403
sexxfreakz.tumblr.com;1;0,1492;10,37
cum-junkie.tumblr.com;1;0,1571;10,369
infirmieres-sexy-gratuites.com;1;0,141;10,364
milf-date.com;1;0,1404;10,356
brazzers19112008.blogspot.com;1;0,1469;10,328
slut4-anyload.tumblr.com;1;0,1502;10,327
my-sexual-hiding-place.tumblr.com;1;0,1409;10,317
free-online-sex-videos.com;1;0,1456;10,299
sex-kassel-chat-fr-sextreffen.pages.dev;1;0,1443;10,284
freevideo-sex.com;1;0,1783;10,254
images4sale.porn;1;0,1499;10,241
sex-in-hell.tumblr.com;1;0,1403;10,177
scacciapensieri.con.gay.easyincontro.com;1;0,1887;10,167
horny-housewives.startspot.nl;1;0,1469;10,162
amateur6.tv;1;0,1391;10,142
sexo-viciosas.com;1;0,1389;10,13
eva-gratis-henger-porn-video.blogspot.com;1;0,1455;10,128
inappropriate-adult.tumblr.com;1;0,1528;10,125
sex-spielzeug-fr-man-studentin-sucht-sex.pages.dev;1;0,1583;10,094
fuck-you-people.skyblog.com;1;0,1525;10,091
livesex-cam-girls.telefon-6chat.com;1;0,1535;10,088
porno.tumblr.com;1;0,1464;10,082
porno-007.com;1;0,1365;10,065
porn-dvd-movie.blogspot.com;1;0,136;10,031
bdsm247.tumblr.com;1;0,1461;10,017
sexy-schoolgirls.com;1;0,1402;10,005
telefonsex-hotlines.com;1;0,1408;0,9999
sex-swinger.tinusi.com;1;0,1408;0,9981
squirting-porno-sex-party-disco.pages.dev;1;0,1687;0,9981
girls2fuck.com;1;0,1437;0,9964
tits.forever.free.fr;1;0,1542;0,9948
pissing-pics.blogspot.com;1;0,1414;0,9937
dicks-boobs-ass.tumblr.com;1;0,1532;0,9935
webcamsex-koppels.nl;1;0,1351;0,9928
xxx-yes.com;1;0,1432;0,9927
xxx-free-download.blogspot.com;1;0,1407;0,9926
latina-porn-pictures.com;1;0,1368;0,9914
busty-and-real.blogspot.com;1;0,1382;0,9913
sex-porno-erotik-videos.com;1;0,1355;0,991
bikini-central.com;1;0,1392;0,9888
youp0rn.fr;1;0,1385;0,9883
xnxx9999.com;1;0,1526;0,9881
sex-sleuth.com;1;0,1781;0,9858
freeporn.dyndns.com;1;0,1374;0,983
pornoxxxxxxxxgratuit.unblog.fr;1;0,1378;0,9809
sexy-milfs-xxx-buzz.blogspot.com;1;0,1474;0,9794
porno.crackweb.com;1;0,1451;0,9792
4k-pornhub.com;1;0,1359;0,9791
teen-zoophilie.com;1;0,1387;0,9786
cock411.com;1;0,1325;0,9782
new-free-milfs.tumblr.com;1;0,1388;0,9781
kara-sex-cams.com;1;0,1378;0,9776
riko-tachibana-anal-tube-video.blogspot.com;1;0,1705;0,9776
nude-hub.blogspot.com;1;0,1402;0,9774
gay-porn-chat.com;1;0,1395;0,9772
vip-file-xxx.org;1;0,1379;0,9738
erotic-realm.com;1;0,1385;0,9738
know-your-nipples.tumblr.com;1;0,1836;0,9733
sex-therapy-online.com;1;0,1361;0,9728
animehentaivideos.xxx;1;0,1347;0,9721
private-teen-sex.com;1;0,1385;0,972
plans-baise.com;1;0,1348;0,9715
tugjobs-handjobs.com;1;0,1417;0,9708
free-sex-side.com;1;0,1702;0,97
pornstar-parade.com;1;0,1403;0,9679
women-sex.org;1;0,148;0,9659
incestporn-xxx.mompov.biz;1;0,16;0,9657
handjob-tubes.com;1;0,137;0,9652
bdsm-pics.blogspot.com;1;0,1643;0,9649
dragonball-porn.com;1;0,144;0,9647
foto-porno-teen.com;1;0,1335;0,9638
amateur-sex.phuddi.com;1;0,163;0,9634
sex-cams69.de;1;0,1704;0,9603
free-galleries-mature.bds0d.com;1;0,1377;0,9599
sex-shoot.com;1;0,1527;0,9597
sexstory816.blogspot.com;1;0,1472;0,9589
pissende-teens.com;1;0,1339;0,9588
1porno-pussy.com;1;0,1341;0,9562
brutal-as-fuck.tumblr.com;1;0,1449;0,9553
coconutt-butt.tumblr.com;1;0,1346;0,9522
chubby-xvideos-porn.blogspot.com;1;0,2221;0,9512
dessous-et-lingerie.com;1;0,1407;0,9493
nude-porno.com;1;0,1531;0,9493
erotic-secrets.tumblr.com;1;0,142;0,9484
world4porn.com;1;0,1334;0,9472
sexy-butt-babes.tumblr.com;1;0,1812;0,9471
silviasaint-pornstar.com;1;0,1385;0,9469
pornstar-vote.com;1;0,1512;0,9458
kinky-sex.com;1;0,1397;0,9449
first-sex-in-18.blogspot.com;1;0,1391;0,9428
luciana-foxx.cam;1;0,2257;0,9428
bigtits-hugeboobs.com;1;0,1387;0,9414
porn555.teenshomeporn.com;1;0,1504;0,9409
xnxxorg.com;1;0,1349;0,9394
teenage--sex.com;1;0,1464;0,939
nudes3.com;1;0,1443;0,9388
handjob-femdom-historische-pornos.pages.dev;1;0,1465;0,9362
pokemon-porn-site.pages.dev;1;0,1448;0,936
extrim-sex.com;1;0,1372;0,9357
sexy-webcammeiden.startspot.nl;1;0,1403;0,9353
celebs--naked.com;1;0,1419;0,9335
naddel.sex-tours.org;1;0,1448;0,9335
my-sex-toy.tumblr.com;1;0,179;0,933
asian-sex-porn.com;1;0,137;0,9321
milf-randki.com;1;0,1527;0,9317
hardcore-porn-sex-galleries.com;1;0,1383;0,9284
nipple.e-city.tv;1;0,1433;0,9271
anal-xxx-pm.blogspot.com;1;0,1716;0,927
teen--sex.com;1;0,1322;0,9267
3pixxl.free.fr;1;0,1369;0,9266
pictures-of-boobs.biz;1;0,1352;0,9264
porno-sex-lesben.com;1;0,1333;0,9258
porn-defense.blogspot.com;1;0,1395;0,9243
naked.com;1;0,1354;0,9226
sexy-redheads.inhit.com;1;0,1398;0,9207
porn-xxx-xxx-movies.com;1;0,1497;0,9206
sex-tent.blogspot.com;1;0,1435;0,9195
free-teen-lesbian-sex-porn-pictures-pussy.com;1;0,1648;0,9175
tits-fuck-porn.com;1;0,1859;0,916
thaicoon-escort.com;1;0,1597;0,9158
ebony-sex24.de;1;0,1404;0,9142
private-amateur-cams.com;1;0,1355;0,9106
hentai-sex-and-toons.com;1;0,1344;0,9094
erotik-domina.de;1;0,1337;0,9089
masturbate-gifs-xxx.tumblr.com;1;0,1483;0,9088
asian-teen-hotties.tumblr.com;1;0,1411;0,9069
free-porno-and-sex.com;1;0,1547;0,9056
free-outdoor-sex.com;1;0,1534;0,9044
gay.v2202412248092306146.luckysrv.de;1;0,1378;0,9034
horny-teengirls.blogspot.com;1;0,144;0,9025
lesbian--group-sex.com;1;0,1746;0,9008
milf-chat-city.com;1;0,1488;0,9007
a-lesbian-porn.blogspot.com;1;0,1364;0,8993
incest-ru.com;1;0,1473;0,8992
sexx-shop.site;1;0,1541;0,898
avatar-porn.com;1;0,1331;0,894
live-adult-cam.science-directory.net;1;0,1501;0,8934
ex-porno.com;1;0,1398;0,8926
girlsflashing.xxx;1;0,1532;0,8872
hotwife-hotlife.tumblr.com;1;0,1823;0,886
porn-email.com;1;0,1315;0,8834
ij-adult.livejournal.com;1;0,1389;0,8784
webcam-plan-cul.com;1;0,1407;0,8783
i-love-booty.com;1;0,1325;0,8781
chaturbate-mobile.com;1;0,135;0,8754
sex.all-humor.com;1;0,1659;0,8747
fetish-kingdom.net;1;0,1344;0,8719
idyxxpyyajxerec.com;1;0,1678;0,8697
x-sexchat.com;1;0,1508;0,867
sex-austria.com;1;0,1814;0,8668
porn-country.com;1;0,1557;0,8663
xxmm69.com;1;0,1328;0,8646
fullhdxnxx.com;1;0,1318;0,8613
free-porn-accounts.com;1;0,1513;0,8597
sex-est.de;1;0,1327;0,8576
sex-porno-black.de;1;0,143;0,8562
analsex.ass-fucker.net;1;0,1322;0,8521
porn-survey745.tumblr.com;1;0,1869;0,8437
xxx-sexteens.com;1;0,1322;0,8375
porn-faq.com;1;0,1304;0,8329
porn-salope.com;1;0,1348;0,8297
guide-to-sex.com;1;0,1339;0,8234
jocks-n-cocks.com;1;0,1589;0,8216
baby-alian-sex-tape.pages.dev;1;0,1903;0,8209
naruto-hentai-x.tumblr.com;1;0,1842;0,8155
matures-bourgeoises-salopes.com;1;0,1762;0,8138
porn-avi.com;1;0,1472;0,8057
gay-sm-studio.de;1;0,1485;0,8055
bare.xxx;1;0,1645;0,8053
porn-kiss.in;1;0,1457;0,7988
xxratedvideos.com;1;0,1378;0,7756
milf-beach.net;1;0,1452;0,7725
lesbian-feet.blogspot.com;1;0,1897;0,7602
sex-claramorgane.skyblog.com;1;0,1757;0,7551
heisser-sex.com;1;0,1592;0,7445
gay-sex-gay-porn.com;1;0,1463;0,7304
free.bokep96.com;1;0,1855;0,7243
busty-milfs-whore.tumblr.com;1;0,1843;0,7158
begleitservice-escort-suche-paar-fr-sex.pages.dev;1;0,1873;0,7083
photographie-sexe.com;1;0,1804;0,6995
twentyone-shades-of-gay.tumblr.com;1;0,1812;0,694
tits-and-cream.tumblr.com;1;0,1785;0,6756
cfnm-dreams.blogspot.com;1;0,1856;0,6735
anal-webcams.com;1;0,18;0,6674
the-cfnm-heaven-blog-nsfw.tumblr.com;1;0,1874;0,6666
cybersex.favorietje.nl;1;0,1817;0,6648
contact-sex.com;1;0,1804;0,655
gay0352.tumblr.com;1;0,1842;0,6521
porn-balls-toilet-xxx.blogspot.com;1;0,1853;0,6488
naked-guys.com;1;0,1559;0,6452
porn-o-holic.com;1;0,1828;0,6437
rape-sex.4-all.org;1;0,1683;0,6433
scharfe.sex-tours.org;1;0,1817;0,6432
xvxx.me;1;0,1388;0,6398
nude-amateur-sex.com;1;0,1732;0,6367
tianpingfalv.com;0;0,1771;11,045
thestatebankgroup.com;0;0,1487;10,876
nataldeluz2025.com.br;0;0,1806;10,793
datenanalyse24.de;0;0,1301;10,736
8x8shareprice.co;0;0,1443;10,724
1wpbyv.com;0;0,1407;10,69
ecosystemassessments.net;0;0,182;10,656
mimeanalytics.com;0;0,1362;10,633
kdv37.ru;0;0,1503;10,595
thewayfaress.com;0;0,1418;10,373
1xslots-t1b.top;0;0,1395;10,282
movi360.com;0;0,1418;10,222
may-jetcasino13.top;0;0,1579;10,219
wisconsingrappler.com;0;0,1417;10,207
annuityassociation.com;0;0,1511;10,105
dubaistudio29.com;0;0,134;10,082
tellkamp-bad.com;0;0,1679;10,063
17317495.xyz;0;0,152;10,034
buliang128.cc;0;0,1463;0,9986
air-rc.com;0;0,1463;0,9949
ppo03390.com;0;0,1408;0,9923
cafe-inspector.com;0;0,1426;0,9817
partyshopmaine.com;0;0,1374;0,9764
16olg7ph.com;0;0,1313;0,969
cadoola2.com;0;0,136;0,9651
azuredatalakeanalytics.net;0;0,1363;0,9635
ffwin33.com;0;0,1495;0,9584
southessexspeechtherapy.co.uk;0;0,1427;0,9548
careservers.com;0;0,1423;0,9539
ideafanatic.com;0;0,1778;0,9539
globalcsg.com;0;0,1505;0,9511
dominogear.com;0;0,1536;0,9498
wb88sport.com;0;0,2016;0,9484
acronym24.com;0;0,1387;0,9482
gdaenemarkangelhuette.de;0;0,1426;0,9467
blueribbonrestaurants.com;0;0,1612;0,944
shreekrishnaenterprise.com;0;0,1415;0,933
howimetyou.com;0;0,1375;0,9281
videolicious.com;0;0,1408;0,9232
h8888.net;0;0,135;0,9213
lastresistance.com;0;0,1379;0,9185
nivelarena.co.kr;0;0,1367;0,9162
intis.or.kr;0;0,1505;0,916
the-pamba.com;0;0,1416;0,9159
virtualassistusa.com;0;0,1702;0,9126
conecto-profiles.com;0;0,1953;0,9068
stilpay.com;0;0,1505;0,9055
mumbaicity.gov.in;0;0,1407;0,9043
smtgnet-prod.com;0;0,1417;0,9038
kasabian.co.uk;0;0,1583;0,9015
natural-antiaging.com;0;0,1737;0,901
ntjohnson.com;0;0,1791;0,9006
walter-learning.com;0;0,1386;0,9003
android-servers.com;0;0,1383;0,899
championcasino184.top;0;0,1871;0,8985
trenython.co.uk;0;0,1591;0,8983
tribe-m.jp;0;0,1442;0,8974
mtcbroker.com;0;0,1393;0,897
fedorashoes.com.ar;0;0,1356;0,8958
contraxxhost.com;0;0,1362;0,8889
thomasbolger.net;0;0,148;0,8874
servicekeystore.com;0;0,1421;0,8834
heiwanet.co.jp;0;0,1382;0,8803
siriusfuture.ru;0;0,146;0,8799
gratisdatingsite.nl;0;0,1417;0,8789
riobetcasino-rnn.top;0;0,1344;0,8772
jozzcazino.ru;0;0,1455;0,8764
360kk.xyz;0;0,1854;0,8752
plataformasembrandovida.org;0;0,1357;0,874
superiorconstruction.com;0;0,1367;0,8732
arkada-mansion.top;0;0,1457;0,873
shop-assistant.ru;0;0,1383;0,8727
rdsv1.net;0;0,1448;0,8717
email-faucet.com;0;0,1364;0,8704
forexanalytix.com;0;0,1409;0,8684
mwjnj.cn;0;0,1396;0,8657
globalbioenergy.org;0;0,1364;0,8653
pca-global.com;0;0,1399;0,8629
candcassembly.com;0;0,1398;0,8627
klnews.co.kr;0;0,147;0,8614
ligassetsinc.net;0;0,1383;0,8584
caphephindiencaphedenam.com;0;0,1422;0,8584
ferries.com;0;0,1413;0,8579
apexeducationacademy.in;0;0,1398;0,8564
weavecurate.com;0;0,1454;0,8554
bcgameappofficial.com;0;0,1363;0,8499
oxgnfashion.com;0;0,1409;0,8482
pollackassociates.com;0;0,1457;0,8482
erzenassociates.com;0;0,1368;0,8478
profactproteomics.com;0;0,1587;0,8467
prairiesummitshop.com;0;0,136;0,8445
everlastwelders.com;0;0,1382;0,8435
mediapartnership.com;0;0,15;0,8406
livinglibations.com;0;0,1363;0,84
levyandassociates.net;0;0,1637;0,8368
amicable.io;0;0,1499;0,8356
dovetailsoftware.com;0;0,1337;0,8339
mulberrypos.ru;0;0,1357;0,8332
nadasurftour.com;0;0,1488;0,8315
alwaysraininghere.com;0;0,143;0,8301
sunfest.com;0;0,1774;0,8293
instrumentl.com;0;0,1442;0,8281
umts-tarif.de;0;0,1355;0,8271
gomelo.co.za;0;0,1333;0,8265
prestamosprivados.com;0;0,1324;0,822
oceanwaveswellness.com;0;0,1352;0,8204
isgsecurity.com;0;0,1533;0,8187
latelierparfum.com;0;0,1335;0,8173
thefoureyed.shop;0;0,1378;0,817
cialissv.com;0;0,1527;0,815
weblisters.com;0;0,1389;0,8142
timsykeswatchlist.com;0;0,143;0,812
imsuccesscenter.com;0;0,1556;0,8116
onlinebookmarking.net;0;0,1352;0,811
ariosy.net;0;0,1354;0,8098
azandassociates.com;0;0,1401;0,8096
dreamhomesbyfc.com;0;0,136;0,8081
liheapassistance.org;0;0,1321;0,8054
partnerpandas.com;0;0,1327;0,8048
have-fun.de;0;0,1837;0,8048
bowlingchat.net;0;0,1664;0,8047
iknowwebdesign.net;0;0,1378;0,7953
eduwatchbd.com;0;0,1406;0,7928
westrchem.com;0;0,1414;0,7923
townsquare.net;0;0,1415;0,7923
lsg-service.ru;0;0,1852;0,7915
kinseydesigns.com;0;0,1824;0,7906
xinkaichuanqifabu.com;0;0,1333;0,7888
smoothernity.com;0;0,1681;0,7878
litedata.com;0;0,1355;0,7865
engineeringclicks.com;0;0,1362;0,784
harrsjewelry.com;0;0,1314;0,7803
gormanrupp.com;0;0,163;0,7787
haochengwuye.com;0;0,1496;0,7721
svegev.ru;0;0,1341;0,7708
birthtracks.com;0;0,1352;0,7686
bancosbrasil.com.br;0;0,1887;0,7676
themanuscripteditor.com;0;0,1763;0,7628
teamrugsteam.cc;0;0,1373;0,7626
theurgetowander.com;0;0,137;0,761
lidervlasti.ru;0;0,1389;0,7592
prepnetwork.com;0;0,1383;0,7571
gudinis.com;0;0,1596;0,7552
isokart.com;0;0,1333;0,7516
imsfabrication.com;0;0,1513;0,7507
yhdsqmv.com;0;0,1459;0,7506
rewardslabs.com;0;0,1343;0,7487
tripodox.com;0;0,1377;0,7482
eduprovence.net;0;0,172;0,7458
xxbunker.com;0;0,1443;0,7455
bangkit.online;0;0,1383;0,7432
ncamd.com;0;0,1398;0,7406
launchdrop.net;0;0,1348;0,7404
salttechno.com;0;0,1313;0,7399
xtbiquge.com;0;0,1617;0,7379
fits-app.com;0;0,1483;0,7344
kanakavalli.com;0;0,1354;0,731
ukrpipe.com;0;0,1387;0,7305
u9ilnk.me;0;0,1735;0,7301
immoweltag.de;0;0,133;0,7271
sandwauto.com;0;0,1685;0,7264
newtontrophy.com;0;0,133;0,7237
lumusae.com;0;0,1728;0,7218
thexpos.net;0;0,1398;0,7173
omsksanepid.ru;0;0,1395;0,717
franmara.com;0;0,1322;0,7144
bangassets.com;0;0,1336;0,7144
palmweb.org;0;0,1379;0,7124
olarmyjoel.com;0;0,1516;0,7121
kmrd.dev;0;0,1486;0,7073
interleads.net;0;0,1333;0,7069
ceylonlegend.com;0;0,1242;0,7049
yadongstore.org;0;0,1438;0,7047
avfox.cc;0;0,1331;0,7032
artsprofessional.co.uk;0;0,1827;0,6996
sharelink-3.shop;0;0,1516;0,6981
pandahrms.com;0;0,1334;0,695
ballator.com;0;0,1358;0,6925
hative.com;0;0,1336;0,6923
bitvoodoo.cloud;0;0,1426;0,6921
lqsyysj.com;0;0,1784;0,691
zemljaracunara.online;0;0,1758;0,6889
tylergaw.com;0;0,1332;0,6829
iqhealth.com;0;0,1423;0,6801
ganaaqui.com;0;0,1399;0,6797
uwams.info;0;0,1445;0,6771
baozam.net;0;0,1342;0,6753
domusanalytics.com;0;0,1809;0,6744
hglegal.com;0;0,1378;0,6715
patibul.com;0;0,1307;0,6708
randols.com;0;0,1673;0,6681
albstadt.de;0;0,1272;0,6651
chkorean.com;0;0,1504;0,6646
hadmiles.org;0;0,1343;0,6632
tntp.org;0;0,1453;0,6627
xzwen.com;0;0,1501;0,6616
mensesthe-duma.com;0;0,183;0,6614
tankai.jp;0;0,1334;0,6577
uralmig.ru;0;0,1359;0,6452
jdzb.de;0;0,154;0,6441
chassetir.com;0;0,1568;0,6415
jetinfo.com;0;0,1355;0,6413
1kzrhc8w.com;0;0,1621;0,6391
iindo.com;0;0,1339;0,6385
qtlcname.com;0;0,1764;0,6381
lawarp.com;0;0,1406;0,6363
bizcn.com;0;0,1302;0,6326
vinand.ru;0;0,1318;0,6321
melissa.com;0;0,1506;0,6308
nagpursatta.com;0;0,1821;0,6295
debbiealsdorf.com;0;0,1527;0,6263
raidzer.ru;0;0,134;0,6208
caxieka.net;0;0,1375;0,6191
x-girl.jp;0;0,181;0,6177
skimpro.ru;0;0,134;0,6164
sacedu.cn;0;0,1336;0,614
psychoanalys-sip.ru;0;0,1486;0,6117
fsktxt.net;0;0,1358;0,6067
idiomacr.com;0;0,1843;0,6066
addpv.com;0;0,1333;0,6064
soft14.com;0;0,1493;0,606
molery.com;0;0,1486;0,6046
leyohost.com;0;0,1482;0,6017
marywoodpacers.com;0;0,1728;0,6008
gbsnet.it;0;0,1348;0,5981
rapidteegolf.com;0;0,1752;0,5867
symestic.com;0;0,1822;0,5739
wensiji.com;0;0,1764;0,5737
manymoons.com;0;0,1809;0,5684
oxedandassessment.com;0;0,1824;0,56
podgon.net;0;0,183;0,5597
saihi-busnavi.com;0;0,1614;0,5588
cecwd.com;0;0,1854;0,5456
nerogiardini.it;0;0,1578;0,5401
blissrealestate.org;0;0,1501;0,5335
wvnursing.org;0;0,1738;0,5333
clintonhonda.com;0;0,186;0,5327
thailandplant.com;0;0,165;0,528
louisemolton.com;0;0,1725;0,527
yynnxs.com;0;0,1557;0,5257
lyracasino.com;0;0,1595;0,5201
mehragoelco.com;0;0,1713;0,5183
ludosaurus.com;0;0,1831;0,5167
fastmaildmarc.com;0;0,1492;0,5053
digitaltkzan.xyz;0;0,1598;0,505
weathercrave.com;0;0,1737;0,505
provatidis.com;0;0,1833;0,4965
guardalert.com;0;0,157;0,4959
nctm.org;0;0,1817;0,4949
skeuoss.net;0;0,1486;0,4833
